frame_idx,state,path_id,path_index,path_s,match_distance_px,angle_error_deg,signed_angle_error_deg
306,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
307,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
308,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
309,tracking,0,637,638.239,9.181263084,8.368976244,8.368976244
310,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
311,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
312,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
313,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
314,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
315,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
316,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
317,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
318,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
319,tracking,0,679,667.8555,6.08192026,5.579353934,5.579353934
320,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
321,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
322,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
323,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
324,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
325,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
326,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
327,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
328,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
329,tracking,0,705,685.6432,5.095185788,13.44120414,13.44120414
330,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
331,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
332,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
333,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
334,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
335,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
336,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
337,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
338,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
339,tracking,0,736,706.6026,6.731448303,10.15913618,10.15913618
340,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
